id,created_at,user_id,screen_name,text
N/A,"""2018-10-19T12:46:29.000Z""","""HelloMyFriends""",N/A,"""This is why people shouldn\u2019t just go and get a phone aka the iPhone X\u2019s max when it just comes out cause then another one will come out and then you\u2019ll want it \ud83d\ude02 but I won\u2019t get this phone I\u2019ll stick to the xs or max \ud83d\ude42"""
N/A,"""2018-10-19T12:06:11.000Z""","""Diana Mocanu""",N/A,"""I have never had an iphone and I am planning on getting the Xr. What do ya think??"""
N/A,"""2018-10-19T10:42:00.000Z""","""Mikey Estrada""",N/A,"""before you buy everyone this phone is a over priced iphone 10 with a 720p display"""
N/A,"""2018-10-19T08:38:06.000Z""","""Lily Ka's Vegan garden""",N/A,"""ok the coral look to orange... But the red wow!! Can't wait for it!! I had the 6 so i'm sure i'm gonna feel the difference :D\nThx for the vid\u00e9o :)"""
N/A,"""2018-10-19T07:38:17.000Z""","""J R""",N/A,"""1:12 in blue \ud83d\udc40\ud83d\udc40"""
N/A,"""2018-10-19T06:41:14.000Z""","""littlesame""",N/A,"""Best color review!"""
N/A,"""2018-10-19T05:01:41.000Z""","""Fad Jawad""",N/A,"""So i have iphone x\nI want to buy this phone. Bcoz i like the color red :):)\nAm i doing it right?"""
N/A,"""2018-10-19T03:26:40.000Z""","""Dutzu Miho""",N/A,"""Dude you\u2019re crushing it!"""
N/A,"""2018-10-19T01:09:05.000Z""","""Wasumit Wongwai""",N/A,"""R stands for Reduced"""
N/A,"""2018-10-18T22:45:31.000Z""","""Chang Ye""",N/A,"""Kinda wish they didn't remove 3D touch hope they put it back next year."""
N/A,"""2018-10-18T18:51:53.000Z""","""Tn_valepoke 04""",N/A,"""4:57 blackgeek"""
N/A,"""2018-10-18T18:51:44.000Z""","""Tn_valepoke 04""",N/A,"""4:57 blackgeek"""
N/A,"""2018-10-18T18:51:30.000Z""","""Tn_valepoke 04""",N/A,"""4:57 blackgeek"""
N/A,"""2018-10-18T17:52:59.000Z""","""Matt Playz""",N/A,"""The reason it\u2019s called a XR is because XC means 90 in Roman numerals,XS was taken and The XT is onepluses \u201cs\u201d variant of phones so like the reason behind onepluses naming scheme being 1 + s = t and what apple did was 1 - s = R meaning it\u2019s a step lower than the S"""
N/A,"""2018-10-18T14:30:31.000Z""","""Mustaq Ahmed""",N/A,"""I have IPhone 8 YouTube streams at downscaled 1080p I literally can\u2019t notice a difference and low res screen means better life and will LCD tends to last longer so yeah I don\u2019t get what the rant is all about."""
N/A,"""2018-10-18T12:57:21.000Z""","""Nirjal Ghimire""",N/A,"""F*ck the world. I am buying Xr or pixel 3 or 3xl or razer 2. If not all of them then OnePlus 6t or 7."""
N/A,"""2018-10-18T12:28:37.000Z""","""chris miller""",N/A,"""Phone should have been 399"""
N/A,"""2018-10-18T12:06:16.000Z""","""Istv\u00e1n Mez\u0151""",N/A,"""why there is no green anyway? :/"""
N/A,"""2018-10-18T10:37:35.000Z""","""Punlop Boonpanya""",N/A,"""I will buy the iphone xr for sure!!"""
N/A,"""2018-10-18T05:41:29.000Z""","""Mike S""",N/A,"""R is below S on the alphabet. So maybe apple is trying to say that the iPhone XR is a lesser product than the iPhone XS (which it is)?"""
N/A,"""2018-10-18T02:21:30.000Z""","""Leo Colless""",N/A,"""This is everything I want on an iPhone."""
N/A,"""2018-10-18T02:20:30.000Z""","""Leo Colless""",N/A,"""XR = Xtra Radical."""
N/A,"""2018-10-18T01:21:35.000Z""","""Ari Cruz""",N/A,"""R stands for reduce \ud83e\udd37\ud83c\udffb\u200d\u2642\ufe0f"""
N/A,"""2018-10-18T00:27:44.000Z""","""Daniella Unicorns""",N/A,"""Is coral really that orangey or is it just the camera?"""
